,title,location,company,summary,salary,url
412,General Practitioner,Abu Dhabi,Housecall,Housecall is a product of DrOnCall which is a primary healthcare provider healthtech startup implementing progressive solutions to our community's healthcare…,,https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AOyjwbQkm0M3-pNgk3AAw_wxRWXIR9IFY8EsU1r8zUdXriedwfyG1jn9TWs52YXmQf-fYYkDbRxnZ-lagDTk3jchppXgeEBW9krHbqVxiWSQitMHwZheynTDuqLDuKf98boGendI1Tqr0RCpWdlsOIKTYIZ2YfbVIXpTuXPxFZyxiGYErEbi-u6Q3gIMqGVSZKHO3NQiZ5Z8eOESHaOh4Arud4s4vh03IjcwW1sDsQlQjh21MrTndqgCFAVTyAL7HDitQpHsnd2OtbX0cmmJ4ty-oi37zwaFQW_pwudj19eRBC3jih6jlSeyG45UtXyevru0VeeNuGaInkQTfcIPy64m5uhL8Mh4QyefomrvBIeJVYemnxONdsZibpGYg5x4agmMe3lr25G0FvSaZoaUwvyV6OYum-VzQPnslbaQO6707H4oQXrzWcLGoAZ5M29kI=&p=17&fvj=1&vjs=3
413,General Practitioner,Dubai,VP DOCTOR and Ambulances,We are number 1 healthcare company in UAE having a team of qualified medical service providers including license doctors and nurses.As per UAE Labour Law.,,https://uae.indeed.com/company/VIP-Doctor/jobs/General-Practitioner-b270be8255ec3223?fccid=1e9e153f6500f2ef&vjs=3
414,Recruitment Consultant,Dubai,Hunters & Skipper Management Consultants,"Consulting / Recruiting experience for large Management Consulting, Real Estate consulting, Banking & Financial Services, Technology, Healthcare, will be…","AED5,000 - AED10,000 a month",https://uae.indeed.com/company/Hunters-&-Skipper-Management-Consultants/jobs/Recruitment-Consultant-b1648828a79e6399?fccid=dd8ae9fa53c9a276&vjs=3
415,Innovation Manager,Dubai,Accenture,"Business Insights consulting in multiple Industries such as, Communication & Media, Financial Services, Retail, FMCG, Travel, Public Services, Healthcare,…",,https://uae.indeed.com/rc/clk?jk=684516900ee94b3d&fccid=a4e4e2eaf26690c9&vjs=3
416,Specialist / Consultant Pediatrician,Dubai,Healthcare Factor Specialist,"If you are a compassionate individual with friendly personality always ready to go an extra mile to ensure your young patients' comfort and well being, we have…",,https://uae.indeed.com/company/Picnic-Life-Tours-and-Travels-LLC/jobs/Specialist-4b5fb485eec621e4?fccid=16915d9864d6b347&vjs=3
417,Home Healthcare Nurses - Abu Dhabi,Abu Dhabi,Black Pearl Consult,"Our client, a home healthcare facility in Abu Dhabi, is urgently looking for qualified and experienced Home Healthcare Nurses with HAAD license/eligibility.",,https://uae.indeed.com/rc/clk?jk=c641e5dd27c4cff0&fccid=e9d731aa91b2d791&vjs=3
418,Lab Technician,Dubai,HealthCare Center,"Should be experienced, knowledgeable regarding the management of lab, Stocks inventory, Consumption.Experience in Biochemistry, Hematology etc.","AED3,000 - AED4,000 a month",https://uae.indeed.com/company/HealthCare-Center/jobs/Lab-Technician-4a61d74384501132?fccid=9998f8f27253e395&vjs=3
419,Osteopath - Job post,Dubai,fitstaff,Collaborating with other healthcare professionals and seeking advice where appropriate.What we are looking for.Must hold a DHA licence.,,https://uae.indeed.com/rc/clk?jk=3dfa3a603f8625c4&fccid=37cc4716d8d1c5e4&vjs=3
420,Associate Director - Energy Efficiency Consulting,Dubai,Guidehouse,"Guidehouse is a combination of PwC’s former public sector practice in the US and Navigant’s deep global expertise in energy, financial services and healthcare.",,https://uae.indeed.com/rc/clk?jk=843eb633bf5a2b0b&fccid=b8fdf400786b78b1&vjs=3
422,Recruitment Consultant,Dubai,Middle East Executive,Food & FMCG | Medical & Healthcare | 3PL Logistics.Middle East Executive is a specialist search agency with an impressive reputation for delivering middle and…,,https://uae.indeed.com/rc/clk?jk=941b49c201e1a8c1&fccid=c9314f6c4cac61a0&vjs=3
423,Western trained ICU Nurses - Abu Dhabi,Abu Dhabi,Medacs Healthcare,"Our client is the Middle East's leading provider of specialised long-term care, rehabilitation and home healthcare services and is the regions pioneer in…",,https://uae.indeed.com/rc/clk?jk=831a95afc7ecbe8b&fccid=aebff11e33fbbd12&vjs=3
424,Enterprise Architect - Infrastructure (healthcare) - 1 year...,Abu Dhabi,Black Pearl Consult,Our client who is a leading IT consulting firm based in Abu Dhabi is looking to hire an Enterprise Architect - Infrastructure to work on a project within health…,,https://uae.indeed.com/rc/clk?jk=b24aa7aa6824bd0f&fccid=e9d731aa91b2d791&vjs=3
427,Compliance and Assurance Manager,Dubai,Bupa Global,We reinvest profits into providing more and better healthcare for the benefit of current and future customers.Regulatory Compliance Monitoring and Assurance:,,https://uae.indeed.com/rc/clk?jk=fec7ca83832e437f&fccid=18a7374fde10337f&vjs=3
431,Recruitment Consultant,Dubai,Ignite Search & Selection,Negotiable tax free salary - Flexible working hours - Working from home option - Uncapped Commission - Private Healthcare.We are looking for a individual who:,,https://uae.indeed.com/rc/clk?jk=98d656c71f3d9b38&fccid=6f32a9b2442a4e4b&vjs=3
432,Head of Supply Chain,Dubai,Middle East Executive,Experience within healthcare / medical devices supply chain's • Strong working knowledge from Principal or with distributors • Experience in warehouse…,,https://uae.indeed.com/rc/clk?jk=dbf0c6e68f0e24de&fccid=c9314f6c4cac61a0&vjs=3
433,General Practitioner,Fujairah,Thumbay Hospital,"To join with our leading Healthcare facility based here in Fujairah, UAE.Candidate must have valid MOH Evaluation Certificate as General Practitioner.","AED14,000 a month","https://uae.indeed.com/company/Thumbay-Hospital,-Fujairah/jobs/General-Practitioner-33d13fa093411b13?fccid=6d5c1837efb4ca6a&vjs=3"
434,Specialist Critical Care in Abu Dhabi,Abu Dhabi,Roljobs Technology Services Pvt Ltd,"Currently, we have a great opportunity for ""ICU Specialist"" in one of the leading healthcare group in Abu Dhabi.Below are the relevant details -.",,https://uae.indeed.com/rc/clk?jk=6892ed234c0725a6&fccid=fe7d5c0bd56c430a&vjs=3
435,Community Physiotherapist (western trained) - Abu Dhabi,Abu Dhabi,Medacs Healthcare,"Our client is the Middle East's leading provider of specialised long-term care, rehabilitation and home healthcare services and is the regions pioneer in…",,https://uae.indeed.com/rc/clk?jk=a46c15d598d8728d&fccid=aebff11e33fbbd12&vjs=3
437,MARKETING OPERATIONS MANAGER,Dubai,The Emirates Group,"On top of our generous travel benefits, including discounted flights and hotel stays around the world, this managerial role also has an excellent leave and…",,https://uae.indeed.com/rc/clk?jk=809bab45a6f1905f&fccid=9ef97ff407fc27fd&vjs=3
438,Assistant to Director,Dubai,Jobsite Direct,"Industry Office Administration jobs, Secretarial & PA jobs, Healthcare and NHS jobs.Are you looking for a new challenge?",,https://uae.indeed.com/rc/clk?jk=c1205ad8d5b0987a&fccid=3e2ac6fc889f26fe&vjs=3
440,Road Works Draftsman,Dubai,Omni International,"For over 15 years Omni International Consultants has supplied high caliber personnel to the global Construction, Aviation, Banking, Logistics, IT, Hospitality,…",,https://uae.indeed.com/rc/clk?jk=5ac2423861461fb7&fccid=eb525ce63ed76336&vjs=3
441,(Senior) Staff Market Quality Specialist,Dubai,Advanced Sterilization Products,"Add your talent to our extraordinary team and help us in our mission to make healthcare safer for everyone.With advanced products, technologies, and workflows…",,https://uae.indeed.com/rc/clk?jk=05d91a23a8290001&fccid=d29e0d321c8ed33e&vjs=3
442,Physical Therapist- Outpatient Department,Abu Dhabi,Black Pearl Consult,"Our client, a well-known healthcare facility in UAE is currently recruiting for a Physiotherapist-Outpatient that has an experience in dealing with patients…",,https://uae.indeed.com/rc/clk?jk=4ff6dbca57ad5007&fccid=e9d731aa91b2d791&vjs=3
443,Assistant Professor/Associate Professor/Full Professor,Al-Ayn,United Arab Emirates University,"The successful candidate must have research interests in the general area of Informatics and Cybersecurity with a focus in Information and System Security, IoT,…",,https://uae.indeed.com/rc/clk?jk=2557334f988e6ca0&fccid=c04e2b08127b0a1d&vjs=3
448,Executive Director - Customer Success,Dubai,Securonix,"Our platform is used by some of the largest organizations in the financial, healthcare, pharmaceutical, manufacturing, and federal sectors.",,https://uae.indeed.com/rc/clk?jk=5a64d84c22fc917f&fccid=8414b3cb70a41410&vjs=3
449,Data Governance Advisor,Dubai,Informatica,"Working as the Data Governance Domain Expert you will work across multiple industries covering Finance, Healthcare, Retail, Government, Oil & Gas, Insurance,…",,https://uae.indeed.com/rc/clk?jk=43711525209231ad&fccid=f745426798e2bad8&vjs=3
451,Registered Nurse,Abu Dhabi,Delma Medical Center,"We endeavor to provide our services in a friendly, efficient and professional environment, while delivering premium healthcare solutions, which adhere to the…",,https://uae.indeed.com/rc/clk?jk=f0f4644b5f06c2ea&fccid=d8add636e42b956a&vjs=3
453,Engineering Manager,Dubai,Talabat,"Comprehensive healthcare as well as subsidized gym membership and parking.As part of the Delivery Hero network, Talabat is the pioneer of the online food…",,https://uae.indeed.com/rc/clk?jk=c293f675108408e4&fccid=8948005a95e365ae&vjs=3
454,Registered Nurse Required- Any Nationality,Abu Dhabi,Global Career Heights (GCH),Registered Nurse Require -200 Nos for a leading healthcare group in UAE.\*Should have valid UAE License- DHA/HAAD/MOH.\*Location- Abu Dhabi / Al Ain.,"AED8,000 a month",https://uae.indeed.com/company/Global-Career-Heights-(GCH)/jobs/Registered-Nurse-91ae283da2f52939?fccid=c2ad4fff5701aa2e&vjs=3
455,Practical Nurse,Dubai,Enayati Home Health Care Center LLC,"LEADERS IN HOME NURSING, Enayati Home Healthcare utilizes JUNO, Fidelity Nursing Training Mannikin by CAE, Montreal Canada.*.","AED4,000 - AED6,000 a month",https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D9glK0xKD5q1E0LlS6FtkvHMlFALlP31JBSPUUao8d8Aufb3gWue2rIpc-Jf7WY1I7iXChzmXQLu5bo3Y5FarDf7VBvCOp3kJJE8RFRJNPNqhEnJWWbidC39tchcpLgfkh6H80LzKTDaibnDU1CPY1Rw6nu1BIHcepOn_-8AobaENMmrWGJC31yGDh4wFnhpmcRnhiCZL1jIezUnu-2Evrn06Xi7Zy2IO2R9vcWh7PICYy-yqd42ZNEjKNDUHGtxsGQXVGH8Oc82LIxNefh93bnlgU1kinhHOnqgui-stafZMe4WVEpJXcT_AvhCKPyJFeLAqf8RON-uib2MUIWM3972I8T0HDdEraw64KQ8sUCIAze6t2jiTMJo4L3XMxxgd_GkbxqTzzXrcsXj4dX8B4P8H9HfL_WOoRbR0le47aqrioHtQLt9w2&p=12&fvj=1&vjs=3
457,Dermatologist / Cosmetologist Consultant ( HAAD/ DOH),Abu Dhabi,Davidson Management Consultants,Davidson Management Consultants have been mandated to recruit a native Arabic speaking Consultant Dermatologist for their client which is a Multinational…,,https://uae.indeed.com/rc/clk?jk=6d78a21d1f3f087a&fccid=d3f7b35de7842821&vjs=3
458,Solution Engineer,Dubai,3M,"Experience with integrating IT healthcare systems.Min 3 years’ experience in a relevant domain, i.e. Healthcare IT.The Impact You’ll Make in this Role.",,https://uae.indeed.com/rc/clk?jk=104a5c8defc3f0b5&fccid=595d42593839d3a2&vjs=3
459,Systems Specialist,Dubai,Zayed University,"The University’s benefits package is highly attractive, with competitive salaries, housing, a furniture allowance, annual vacation airline tickets for the…",,https://uae.indeed.com/rc/clk?jk=e22aa7058823d8ef&fccid=9628b0bd10bde506&vjs=3
460,General Practitioner - DHA Licensed,Dubai,Aims Healthcare LLC,"Aims Healthcare is the highly trusted Doctor on call and Doctor at Home service provider from Dubai, UAE.Our aim is to provide best-in-class Doctor on Call and…",,https://uae.indeed.com/company/Aims-Healthcare-LLC/jobs/General-Practitioner-72b0592f78259bd6?fccid=530573c051a230fe&vjs=3
461,Emergency Medical Technician - Basic/Advanced (HAAD/DHA Lice...,Abu Dhabi,NMC Healthcare,NMC Healthcare is the largest private healthcare company in the UAE and ranks amongst the leading fertility service providers in the world.,,https://uae.indeed.com/rc/clk?jk=bb92baf347bc4826&fccid=d59f4719f5b1f6db&vjs=3
462,Sales Manager,Dubai,ABZER Technology Solutions,"Good to have experience in BFSI / Healthcare domains.Recruit, hire, and train sales.Set sales goals, compare performance to goals, and adjust goals as needed.",,https://uae.indeed.com/rc/clk?jk=6866e768e0165f43&fccid=4a3260225aa4c814&vjs=3
463,Phlebotomist,Fujairah,Thumbay Hospital Fujairah,"Looking for Phlebotomist with Moh Evalutaion Certificate / MOH License to join with our leading Healthcare facility based over here in Fujairah, UAE.","AED4,000 a month","https://uae.indeed.com/company/Thumbay-Hospital,-Fujairah/jobs/Phlebotomist-9243f7e9ad6ff065?fccid=6d5c1837efb4ca6a&vjs=3"
464,Family Medicine Physician Specialist,Dubai,Search Plus HR,"Family Doctors are expected to treat a wide range of medical conditions, develop long-term, personal relationships with their patients, and produce…",,https://uae.indeed.com/rc/clk?jk=9376da8962364bc7&fccid=618066ca5559b1d4&vjs=3
465,Insurance Manager,Dubai,uniCare Medical Group,Experience as Insurance Manager title in reputed Healthcare facility in the Dubai.Must be Bachelor degree in relevant discipline.,,https://uae.indeed.com/company/Biosytech-Medical-Laboratory/jobs/Insurance-Manager-83a8bbb949b7716a?fccid=f8d2dcff83561c0b&vjs=3
466,Registered Nurse,Sharjah,novo Healthcare,"Female, Able to work in split shift in sharjah based clinic.",,https://uae.indeed.com/rc/clk?jk=e6cc36a62606edde&fccid=87074ac476c711e7&vjs=3
467,DHA/HAAD - Pharmacist (Males),Dubai,DOCIB HEALTHCARE MANAGEMENT,"Dispensing prescription medicines and advising regarding drug interactions & effects, medication brands etc.Counseling the customer/patient on dosage, diet to…",,https://uae.indeed.com/company/DOCIB-HEALTHCARE-MANAGEMENT/jobs/Dha-Haad-7371740a10b4684f?fccid=558af85d4b1ff541&vjs=3
469,Registered Midwife,Dubai,Al Zahra Hospital Dubai,Undertake comprehensive healthcare needs assessment of mother and babies reassessing as appropriate.The post holder is responsible for the assessment and…,,https://uae.indeed.com/company/Al-Zahra-Hospital-Dubai/jobs/Registered-Midwife-254539abd97f68a2?fccid=4330d0d31fa27901&vjs=3
470,Occupational Therapist- Abu Dhabi,Abu Dhabi,Medacs Healthcare,"A wonderful opportunity available for an experienced Occupational Therapist in Abu Dhabi, UAE!We are currently looking for an Occupational Therapist for an…",,https://uae.indeed.com/rc/clk?jk=83f8a39db942ef08&fccid=aebff11e33fbbd12&vjs=3
471,Female Home Care Nurse / Caregiver,Dubai,Healthcare,"Urgently hiring, Female Homecare Nurse/caregiver for a homecare company located in Dubai.Must be able to join immediately.Yearly vacation leaves with pay.",,https://uae.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AwjvHhW3L6GOEBaXKN53I1yJ98W4FNJ83zeMSDUscV9NtioM3XSrxcx5yxVlBT8WohmEvU60hQC8CzIYB-c40PiN-hTVKpqQ-AegR_NxvU5cu3pY-Fy-Zrp6SzotSWkzSB0g5QC5HdQcWNCMgEHMzzdBJlIvWaiD_PNFlMMgexkw9GrDuplyZkPfJCfdzcxOLy1KRLPwwCtA7jKzXhX5KgJE6ZRGErBdgNxcPkTrmDklNbV-ph0FyCNm_sEXaBA3Crik4zIMzKDe8vcbKZKHeOQBqH_eeUIyXNVJ3pfCkX9eaIFdC5cYGLP8Yv8lt8vEGE91xqrmdCx7h-iGylZIaToRs8Drz-tstNNBTSRmRKxuLCZDg44fM7aLi1TIC5sjt_QPDCdZSTx3d4LF0XkzyEyJ-p6BGgbRxKJ0apKDW3Dgkuddr1zCeBMv1Y7ZHZPSZhtDEMfWWc0g==&p=13&fvj=1&vjs=3
472,Specialist Rheumatologist,Dubai,Search Plus HR,"We are looking for an experienced Specialist Rheumatologist, to join the growing healthcare team.The position includes both inpatient and outpatient works with…",,https://uae.indeed.com/rc/clk?jk=44fef592b9572455&fccid=618066ca5559b1d4&vjs=3
473,Senior Associate - Immigration,Dubai,Deloitte & Touche (M.E.),"Deloitte is the world's largest and leading professional services firm, providing audit & assurance, consulting, financial advisory, risk advisory and tax and…",,https://uae.indeed.com/rc/clk?jk=0a5b4dd179bb7256&fccid=9e215d88a6b33622&vjs=3
474,Dental Assistant,Dubai,GMC Healthcare Group LLC,"We are looking for a bright, intelligent, experienced and hard working dental assistant with excellent clinical skills.","AED7,000 a month",https://uae.indeed.com/company/GMC-Healthcare-Group-LLC/jobs/Dental-Assistant-ba08fcb9021cd646?fccid=d2006f3068af6d9b&vjs=3
476,HOME CARE NURSE / DERMA /LASER NURSE-HAAD/DOH REGISTERED NUR...,Abu Dhabi,"Primexperts Healthcare, Training And Consultancy",HOME CARE NURSE - REGISTERED NURSE (HAAD/DOH LICENSE).DERMA/LASER NURSE - REGISTERED NURSE (HAAD/DOH LICENSE).,"AED12,500 a month","https://uae.indeed.com/company/Primexperts-Healthcare,-Training-And-Consultancy/jobs/Home-Care-Nurse-cbbfd02651190c79?fccid=460f9c289d11e23d&vjs=3"
477,IT Sales Executive,Dubai,Euclidz Technologies,"Drive sales from a direct selling effort in different business domains like Healthcare, Retail, Education, Construction and Finance etc.","AED2,500 - AED6,000 a month",https://uae.indeed.com/company/Euclidz-Technologies/jobs/IT-Sales-Executive-07ec0292e8e1566a?fccid=7ad386b48bc9f4f0&vjs=3
478,Doctors with DHCC DHA - Revenue Sharing,Dubai,DRHC Hospital,"Dubai Healthcare City, High class premium Hospital.A well renowned private Hospital, Dubai.Specialty Doctors (Surgeons) - Part time Revenue Sharing.*.",,https://uae.indeed.com/company/Dr-Rami-Hamed-Center/jobs/Doctor-Dhcc-Dha-3a93dbb766e3cfb6?fccid=48b5a6e70371002e&vjs=3
479,Registered Nurse,Dubai,Prime Healthcare Group,"Facilitates and delivers quality nursing care, coordinate and manage the environment in which the care is delivered.Must have DHA license/Eligibility letter.",,https://uae.indeed.com/rc/clk?jk=88ae94c0ab71f99f&fccid=31691dcf4c045988&vjs=3
480,Front Desk Receptionist,Fujairah,Global Career Heights (GCH),Experience in the Hospitality or Healthcare industry MUST.FRONT DESK REPRESENTATIVE CUM RECEPTIONIST.Ready to relocate to UAE.,"AED2,000 - AED3,000 a month",https://uae.indeed.com/company/Global-Career-Heights-(GCH)/jobs/Front-Desk-Receptionist-a61bb75ec54f3314?fccid=c2ad4fff5701aa2e&vjs=3
481,Data Application Engineer,Abu Dhabi,Marc Ellis Consulting,Experience in the healthcare sector and/or knowledge of healthcare data systems and/or clinical information systems.,,https://uae.indeed.com/rc/clk?jk=96f31a7b84c5af8f&fccid=d25332eb688f9794&vjs=3
482,Senior Service Engineer,Dubai,Horizon Medical Supplies,Bachelor/Master Degree- Bio Medical Engineering.Any Nationality – (Male)- Preferable Arabic.Minimum 4-5 years and 2-3 years in UAE.,,https://uae.indeed.com/rc/clk?jk=1f3d04b1c673726c&fccid=818f7691bbea46a3&vjs=3
484,Specialist ENT (HAAD / DOH),Abu Dhabi,Davidson Management Consultants,Davidson Management Consultants have been mandated to recruit a native Arabic speaking Specialist ENT for their client which is a multinational european…,,https://uae.indeed.com/rc/clk?jk=1f7f2bd5a9756324&fccid=d3f7b35de7842821&vjs=3
485,Service Engineer - Laboratory,Dubai,Horizon Medical Supplies,Bachelor/Master Degree- Bio Medical Engineering.Any Nationality – (Male)- Preferable Arabic.Minimum 4-5 years and 2-3 years in UAE.,,https://uae.indeed.com/rc/clk?jk=a7e5cb5d7ddf050d&fccid=818f7691bbea46a3&vjs=3
486,Specialist Oral and Maxillofacial Surgeon,Dubai Free Zone,Medical Specialists Centre,"We are looking for an experienced Specialist Oral & Maxillofacial surgeon, to join the growing healthcare team.Licensed to practice as an Oral Surgeon.",,https://uae.indeed.com/company/Healthcare-clinic/jobs/Specialist-Oral-Maxillofacial-Surgeon-055a9ad3b53f3bac?fccid=7bf49baed8817467&vjs=3
487,Male Registered Nurse for Home Care,Abu Dhabi,Via Medica Intl,Via Medica International Healthcare LLC is continuously looking for Male - Registered Nurse(s) to be part of our Home Care Division - Abu Dhabi.,,https://uae.indeed.com/rc/clk?jk=9be3bca397d85976&fccid=03a1b11f55201a40&vjs=3
488,Emergency Medicine Consultant - International Hospital,Sharjah,Omni International,"For over 15 years Omni International Consultants has supplied high caliber personnel to the global Construction, Aviation, Banking, Logistics, IT, Hospitality,…",,https://uae.indeed.com/rc/clk?jk=ca68b6cb6f228fa4&fccid=eb525ce63ed76336&vjs=3
489,Consultant Paediatric Neurologist - Abu Dhabi,Abu Dhabi,Medacs Healthcare,A wonderful opportunity available for an experienced Consultant Paediatric Neurologist in Abu Dhabi!We are currently looking for an Consultant Paediatric…,,https://uae.indeed.com/rc/clk?jk=bf16fe089cc324ce&fccid=aebff11e33fbbd12&vjs=3
490,Head of Finance,Dubai,Robert Walters,Must have Healthcare or Clinic related Finance Experience.Minimum 5 years’ working experience in Head of Finance role in a Healthcare business or Clinic.,,https://uae.indeed.com/rc/clk?jk=44070e7c11133e09&fccid=f01c2f55ec3054bf&vjs=3
491,Social Media Manager,Dubai,Inside Ideas,"In September 2019, IIG were awarded a contract by a market-leading healthcare brand to create agencies inside the brands leading offices around the world.",,https://uae.indeed.com/rc/clk?jk=166a8f4d51c43c83&fccid=b45966c2e32e6bba&vjs=3
